sn_id,name,ZTF_ID,ra,declination,redshift,type,discoverydate
ZTF23aapvvky,,,,,,,
ZTF24abuonfe,SN2024acqk,ZTF24abuonfe,30.057875,13.055181,0.08,SN Ia,04:40.0
ZTF24abepnpq,SN2024unx,ZTF24abepnpq,36.979458,37.447731,0.045,SN Ia,19:28.0
ZTF22aaeipoe,,,,,,,
ZTF22aadfgpu,SN2022gjq,ZTF22aadfgpu,252.2895293,27.21156778,0.073,SN Ia,54:14.4
ZTF24abcpmak,SN2024sov,ZTF24abcpmak,53.679958,11.590781,0.04,SN Ia,09:26.0
ZTF22aabfuju,SN2022crf,ZTF22aabfuju,189.2618043,43.75710706,0.068548,SN Ia,44:08.0
ZTF22aaoxqno,,,,,,,
ZTF23aajimhq,SN2023inl,ZTF23aajimhq,178.6194168,32.94316245,0.073047,SN Ia,57:56.2
ZTF23abcnhzq,SN2023skg,ZTF23abcnhzq,65.38308817,35.08209551,0.051,SN Ia,30:43.2
ZTF24abofwql,SN2024zcm,ZTF24abofwql,351.2394569,13.01327863,0.046,SN Ia,38:10.0
ZTF22aaevwec,SN2022gwg,ZTF22aaevwec,207.6070499,68.55506102,0.031218,SN II,30:00.0
ZTF23aafsjor,SN2023fxj,ZTF23aafsjor,172.1574801,50.82571375,0.038,SN Ia,15:57.0
ZTF24abcscfm,SN2024spu,ZTF24abcscfm,287.46475,42.366011,0.03,SN IIn,13:14.0
ZTF23abbngay,,,,,,,
ZTF24aaejivf,SN2024cjt,ZTF24aaejivf,180.3061049,43.5716757,0.07391,SN Ia,36:43.0
ZTF22aaahcwj,SN2022blm,ZTF22aaahcwj,95.46215105,0.36708085,0.009117,SN Ia,13:31.0
ZTF23aaeljse,,,,,,,
ZTF24abzsvbq,SN2024afkd,ZTF24abzsvbq,108.7307491,53.12190048,0.06,SN Ia,44:14.0
ZTF23aazvjqv,,,,,,,
ZTF22aaohilj,SN2022myl,ZTF22aaohilj,252.759875,30.664539,0.0371,SN IIn,40:00.0
ZTF24abnpugu,SN2024yzy,ZTF24abnpugu,358.4731559,19.63636035,0.087,SN Ia,18:05.0
ZTF24ablucio,SN2024xse,ZTF24ablucio,129.023792,52.719731,0.0635,SN Ia,13:23.0
ZTF23aacbziz,,,,,,,
ZTF23aagaili,SN2023gdb,ZTF23aagaili,197.329878,39.11283883,0.08,SN Ia,55:01.0
ZTF23abpydvb,SN2023xip,ZTF23abpydvb,121.1790058,8.715589103,0.03,SN II,37:26.4
ZTF24aaormag,SN2024jfy,ZTF24aaormag,192.144958,10.875789,0.042,SN Ia,45:55.3
ZTF24aaoosca,SN2024jfg,ZTF24aaoosca,265.879042,39.022739,0.04,SN IIb,39:49.0
ZTF24aalcfes,,,,,,,
ZTF22abtybkh,SN2022aajn,ZTF22abtybkh,107.0648213,21.07260307,0.043,SN Ia,49:16.0
