sn_id,name,ZTF_ID,ra,declination,redshift,type,discoverydate
ZTF22aaxtias,SN2022qdg,ZTF22aaxtias,280.58213532222,17.706883966667,0.012,SN Ib,2022-07-30 06:07:12.000
ZTF23aakokgz,SN2023jdj,ZTF23aakokgz,179.7889346,54.2240663,0.08,SN Ia,2023-05-20 04:22:04.800
ZTF23abhxwud,,,,,,,
ZTF23aaguymg,,,,,,,
ZTF22abyrdyz,,,,,,,
ZTF24abjjeet,SN2024wqc,ZTF24abjjeet,49.2670422,47.1208078,0.03,SN Ia,2024-09-26 07:48:59.996
ZTF24abtoaue,SN2024abwh,ZTF24abtoaue,122.42776744,38.5389140444,0.07,SN Ia,2024-11-21 09:50:59.000
ZTF24aaswnkx,SN2024mvi,ZTF24aaswnkx,7.55040155844,30.5965752031,0.054,SN Ia,2024-06-25 10:54:12.003
ZTF23aappdyu,,,,,,,
ZTF24ablkziv,SN2024xex,ZTF24ablkziv,88.744984888,51.8959943236,0.058,SN Ia,2024-09-30 13:13:29.856
ZTF23aaojwkb,SN2023kzm,ZTF23aaojwkb,229.2277533875,28.3073505875,0.075506,SN Ia,2023-06-14 06:40:19.200
ZTF22aajhdnf,,,,,,,
ZTF22abputid,,,,,,,
ZTF23aadvtxf,SN2023eav,ZTF23aadvtxf,123.605424037,58.2999383811,0.026563,SN Ia,2023-03-28 03:53:16.800
ZTF22aaokebo,SN2022myi,ZTF22aaokebo,277.329708,29.478989,0.05,SN II,2022-06-13 07:26:20.000
ZTF22abkwdhr,SN2022xaw,ZTF22abkwdhr,343.182918594,16.0841786687,0.083,SN Ia,2022-10-06 09:08:38.400
ZTF22abjkjzk,,,,,,,
ZTF22aaknvcz,SN2022kob,ZTF22aaknvcz,275.195,40.40765,0.067,SN Ia,2022-05-24 10:19:39.648
ZTF23abnmbsq,,,,,,,
ZTF23aaqdwrp,,,,,,,
ZTF23aaaasoh,,,,,,,
ZTF24abqttfy,SN2024aapp,ZTF24abqttfy,358.398269,50.5295914,0.044207,SN Ia,2024-11-05 03:48:35.999
ZTF22aahmttr,,,,,,,
ZTF22aadewot,SN2022exf,ZTF22aadewot,222.332051971,23.1467205111,0.036,SN II,2022-03-20 12:06:08.064
ZTF23abavxmm,SN2023rou,ZTF23abavxmm,352.860048047,28.2307305458,0.061,SN Ia,2023-09-04 09:17:16.800
ZTF22aaolexr,SN2022nid,ZTF22aaolexr,285.04428985556,59.151794033333,0.074,SN Ia,2022-06-18 06:46:56.000
ZTF24aaosvzx,SN2024jgw,ZTF24aaosvzx,258.761954519,46.044889687,0.028,SN Ia-91bg-like,2024-05-25 07:24:19.999
ZTF23aaalcjc,SN2023aeg,ZTF23aaalcjc,221.0518233,15.3701963,0.05063,SN Ia,2023-01-22 14:12:14.112
ZTF22aaejjtb,SN2022gqh,ZTF22aaejjtb,144.5365995,11.1303225375,0.065,SN Ia,2022-04-05 05:24:41.999
ZTF23aaixaqp,SN2023hzk,ZTF23aaixaqp,233.649644901,30.5883640042,0.059,SN Ia,2023-05-12 08:57:07.200
ZTF23aajrmfh,SN2023ijd,ZTF23aajrmfh,189.135293355,11.222140824,0.007446,SN II,2023-05-14 04:48:00.000
ZTF22aagqgtw,,,,,,,
ZTF22aalwbqe,SN2022lqv,ZTF22aalwbqe,219.358708,52.239831,0.068,SN Ia,2022-05-30 09:21:36.000
ZTF22abhxptt,SN2022vwf,ZTF22abhxptt,290.9586004,44.263982,0.08,SN Ia,2022-09-23 03:49:08.996
ZTF24aasokij,SN2024lxj,ZTF24aasokij,241.367951676,37.2787743095,0.065906,SN Ia,2024-06-20 06:48:31.999
ZTF22abegzdb,SN2022ssx,ZTF22abegzdb,25.3074825,56.4717995,0.016,SN IIn,2022-08-31 11:08:16.996
ZTF23aaiwwgd,SN2023hst,ZTF23aaiwwgd,222.737099858,24.9198225489,0.0701,SN Ia,2023-05-09 06:27:21.600
ZTF23abiwmew,,,,,,,
ZTF23aasfkpz,SN2023nii,ZTF23aasfkpz,340.58808282727,11.446144990909,0.094,SN Ia,2023-07-16 08:06:43.200
ZTF23abqbtam,SN2023xlq,ZTF23abqbtam,27.7331838921,40.8470700016,0.07,SN Ia,2023-11-06 05:19:40.800
ZTF24aaejsaf,SN2024cet,ZTF24aaejsaf,199.685583,47.310119,0.06489,SN Ia,2024-02-11 10:38:16.800
ZTF23abpczzt,,,,,,,
ZTF22aahmgmv,,,,,,,
ZTF22aahibvx,SN2022ikc,ZTF22aahibvx,220.035087806,0.906996861098,0.0343,SN II,2022-04-24 07:33:36.000
ZTF24aaugbew,SN2024owi,ZTF24aaugbew,335.7000135,25.2274373,0.04,SN Ia,2024-07-03 09:14:45.003
ZTF22aanzset,SN2022mox,ZTF22aanzset,203.68675,33.889739,0.023199,SN Ia,2022-06-12 07:16:40.999
ZTF22aabzqnf,SN2022dmj,ZTF22aabzqnf,233.133543848,4.67953109898,0.038875,SN Ia,2022-02-27 10:40:48.000
ZTF23abjuygh,SN2023vha,ZTF23abjuygh,11.38317676,31.00757347,0.082,SN Ia,2023-10-18 09:48:41.184
ZTF24aahgzvu,,,,,,,
ZTF24abyfijk,SN2024aegm,ZTF24abyfijk,106.559933,23.586247,0.024617,SN Ia,2024-12-19 08:19:01.004
ZTF23aamxuks,SN2023kad,ZTF23aamxuks,281.8421907,32.6493616,0.065,SN Ia,2023-06-05 05:16:48.000
ZTF22aavcyar,SN2022puw,ZTF22aavcyar,230.994958,69.75945,0.040208,SN Ia,2022-07-27 07:55:17.184
ZTF23aaiyjbk,SN2023hsy,ZTF23aaiyjbk,167.44274922222,11.192544122222,0.03773,SN Ia,2023-05-09 04:35:02.400
ZTF23aabbqka,,,,,,,
ZTF22aajlsrh,SN2022jpw,ZTF22aajlsrh,272.190375,3.990039,0.031,SN II,2022-05-09 09:04:28.004
ZTF24ablkgwk,SN2024xli,ZTF24ablkgwk,39.7415615585,36.5667636124,0.0374,SN Ia,2024-10-06 11:09:28.224
ZTF24abrmdti,SN2024aawq,ZTF24abrmdti,31.1125360402,16.2218915227,0.06,SN Ia,2024-11-09 04:12:40.996
ZTF23abnkxgm,,,,,,,
ZTF22aaoelte,SN2022mxq,ZTF22aaoelte,208.708292,20.600861,0.074,SN Ia,2022-06-17 05:08:54.001
ZTF23aazpylb,,,,,,,
ZTF22abtcsyd,SN2022zxt,ZTF22abtcsyd,130.068248527,56.0433386231,0.026,SN II,2022-11-12 07:42:04.032
ZTF23aaejwfe,SN2023eoc,ZTF23aaejwfe,242.876104755,52.4610818008,0.036,SN Ia,2023-04-04 19:26:50.784
ZTF23aadvpwt,SN2023dxb,ZTF23aadvpwt,123.003833,19.363581,0.03,SN Ia-91T-like,2023-03-26 01:24:36.864
ZTF22aambnsg,SN2022lqo,ZTF22aambnsg,263.761167,55.41855,0.078365,SN Ia,2022-06-02 10:16:52.032
ZTF22aawavtx,SN2022qch,ZTF22aawavtx,306.503945113,61.8058856014,0.054,SN Ia,2022-07-29 08:44:26.880
ZTF23abmuyqd,,,,,,,
ZTF22abkisoc,SN2022wsq,ZTF22abkisoc,19.9980857176,15.602735487,0.038,SN Ia,2022-10-02 08:12:28.800
ZTF23aahxdsi,SN2023gws,ZTF23aahxdsi,248.166028781,26.9975819641,0.078,SN Ia,2023-04-25 11:11:02.400
ZTF22aatnyuo,SN2022pau,ZTF22aatnyuo,245.607173498,20.0019403619,0.1,SN Ia,2022-07-18 08:14:29.760
ZTF24aaiegxv,SN2024flj,ZTF24aaiegxv,195.9465,59.22715,0.027,SN Ia,2024-04-03 07:51:43.776
ZTF22aakfmcf,,,,,,,
ZTF22aaipocw,SN2022jbg,ZTF22aaipocw,231.274917,37.96045,0.029787,SN Ia,2022-04-30 11:39:53.856
ZTF23aaurhgm,,,,,,,
ZTF22aaiisww,SN2022jdt,ZTF22aaiisww,208.56257715,54.28939005,0.107876,SN Ia,2022-05-01 06:17:41.001
ZTF23aagkgnz,SN2023gdx,ZTF23aagkgnz,164.475208406,55.5810981273,0.0467,SN Ia,2023-04-17 05:14:34.944
ZTF23aaurrfv,,,,,,,
ZTF22abjagqj,SN2022wcs,ZTF22abjagqj,95.024375,49.291739,0.034,SN Ia,2022-09-26 11:44:39.002
ZTF24aaovokk,SN2024jii,ZTF24aaovokk,241.96375,48.756381,0.040258,SN Ia,2024-05-26 07:43:26.112
ZTF23aaeyukj,,,,,,,
ZTF24aatwwpj,SN2024ngr,ZTF24aatwwpj,275.754613725,43.2706786875,0.106,SN Ia,2024-06-27 07:51:59.000
ZTF22abteetl,SN2022zwz,ZTF22abteetl,342.412436073,11.0104611839,0.09,SN Ia,2022-11-11 03:57:36.000
ZTF24aahsmhu,SN2024fcu,ZTF24aahsmhu,152.443167,10.541061,0.05181,SN Ia,2024-03-26 06:17:16.800
ZTF23abetodb,SN2023tcd,ZTF23abetodb,354.1605972,23.9637793,0.066,SN Ia,2023-09-19 10:37:45.998
ZTF23aarrwwl,SN2023nkz,ZTF23aarrwwl,343.022384227,16.3211642949,0.14,SN Ia-SC,2023-07-14 09:08:38.400
ZTF22aakdbia,SN2022jzc,ZTF22aakdbia,181.369458,50.526889,0.0029,SN II,2022-05-16 04:53:45.600
ZTF22aafupdg,,,,,,,
ZTF23aaoxywk,SN2023lgl,ZTF23aaoxywk,236.570493162,19.8992453041,0.1,SN Ia,2023-06-20 07:06:14.996
ZTF22aaxtysg,SN2022qdx,ZTF22aaxtysg,297.63165714,53.3148429064,0.03811,SN Ia,2022-07-30 06:51:27.003
ZTF22aakcvbr,SN2022jzb,ZTF22aakcvbr,184.09652852,-18.5542415,0.045291,SN Ia,2022-05-14 05:32:38.400
ZTF23abglhle,,,,,,,
ZTF24aammkvn,,,,,,,
ZTF24aatclmh,,,,,,,
ZTF23abbzdoj,SN2023rvj,ZTF23abbzdoj,2.4879389,37.0742403,0.01,SN II,2023-09-09 07:50:52.800
ZTF24aagozfg,SN2024djz,ZTF24aagozfg,208.411835061,21.346962432,0.028,SN Ia,2024-02-29 03:00:52.704
ZTF22aaoippk,SN2022nag,ZTF22aaoippk,271.252730003,9.47995710427,0.020954,SN Ia,2022-06-17 07:54:04.000
ZTF23aaiypww,SN2023ifn,ZTF23aaiypww,191.7356931,17.3094055,0.087985,SN Ia,2023-05-09 06:07:12.000
ZTF23aafgazi,SN2023fot,ZTF23aafgazi,185.448153902,10.5914186734,0.026467,SN Ia-91bg-like,2023-04-14 03:39:38.592
ZTF23abbpswf,SN2023rti,ZTF23abbpswf,295.845333,41.940431,0.017646,SN Ib,2023-09-08 07:50:52.800
ZTF23abcglga,SN2023sar,ZTF23abcglga,350.624417,45.6076,0.015,SN Ic,2023-09-08 07:43:40.800
ZTF24aalndou,SN2024hqv,ZTF24aalndou,297.695823979,52.4989751206,0.066,SN Ia,2024-04-30 11:17:21.998
ZTF24aaopngg,SN2024jeh,ZTF24aaopngg,224.798125,13.421639,0.04366,SN Ia,2024-05-19 06:32:56.996
ZTF22abdxbyh,SN2022ssl,ZTF22abdxbyh,343.44321012222,51.464184466667,0.064,SN Ia,2022-08-29 06:38:52.800
ZTF23aahvmpq,SN2023guy,ZTF23aahvmpq,193.980891969,7.93066328005,0.041528,SN Ia,2023-04-26 06:37:23.808
ZTF22abyknqk,,,,,,,
ZTF23abhwhho,SN2023uay,ZTF23abhwhho,313.2650120125,26.711317025,0.048,SN Ia,2023-10-04 04:56:37.000
ZTF22abdtpru,SN2022ssh,ZTF22abdtpru,30.2748104005,15.3214437862,0.073,SN Ia,2022-08-26 10:39:21.600
ZTF24abuuacy,,,,,,,
ZTF23aaftebr,SN2023gat,ZTF23aaftebr,130.17721288889,18.616594166667,0.074253,SN Ia,2023-04-16 04:53:45.600
ZTF22abmcems,,,,,,,
ZTF23aboejiq,,,,,,,
ZTF24abcyfru,SN2024svd,ZTF24abcyfru,280.87400035556,58.129915766667,0.03,SN II,2024-08-26 05:52:45.000
ZTF22aauubkl,,,,,,,
ZTF23aaehsgs,SN2023epo,ZTF23aaehsgs,148.548456762,34.1417947371,0.018,SN Ia,2023-04-07 06:33:58.176
ZTF23abktfjr,SN2023vqn,ZTF23abktfjr,343.132193171,18.2351282007,0.07,SN Ia,2023-10-22 07:54:42.624
ZTF23abgnfdv,SN2023udv,ZTF23abgnfdv,58.6723751422,7.33127995179,0.05,SN Ia,2023-10-05 06:22:41.664
ZTF23aaeinqq,SN2023exs,ZTF23aaeinqq,163.45582139,12.0086179975,0.0465480015,SN Ia,2023-04-09 06:37:14.304
