sn_id,name,ZTF_ID,ra,declination,redshift,type,discoverydate
ZTF24aayimjt,SN2024rjw,ZTF24aayimjt,315.792112142,20.7507171738,0.02,SN Ic,2024-08-03 07:06:29.001
ZTF24abyaowk,SN2024aefa,ZTF24abyaowk,75.0270683779,24.5242882163,0.047,SN IIn,2024-12-18 10:40:04.800
ZTF24aawruen,SN2024pwe,ZTF24aawruen,248.8321573,19.2411127,0.085,SN Ia,2024-07-19 06:29:55.003
ZTF24abvuqds,,,,,,,
ZTF24abdzkva,,,,,,,
ZTF23aanuvih,SN2023kkh,ZTF23aanuvih,282.271775915,45.1196550257,0.08,SN Ia,2023-06-11 10:45:44.352
ZTF22abunjts,SN2022aaok,ZTF22abunjts,138.75347615,22.5895556889,0.027214,SN Ia-91bg-like,2022-11-17 09:50:24.000
ZTF23aaaprxt,SN2023abj,ZTF23aaaprxt,177.259586158,17.6808575732,0.073,SN Ia,2023-01-21 10:11:43.999
ZTF22aaehwkv,,,,,,,
ZTF22abfyzir,SN2022uoq,ZTF22abfyzir,48.3587709207,19.7892169458,0.053,SN Ia,2022-09-17 08:08:09.600
ZTF22abymgpf,,,,,,,
ZTF23aaqmxxo,SN2023mpi,ZTF23aaqmxxo,272.7009084,61.5439242,0.1,SN II,2023-07-03 10:43:40.800
ZTF22aajezaq,SN2022jhq,ZTF22aajezaq,271.261542,56.266911,0.022019,SN Ia,2022-05-01 09:50:24.000
ZTF24aagolgy,SN2024dla,ZTF24aagolgy,243.16775,37.159439,0.069,SN Ia,2024-02-29 10:16:19.200
ZTF18abxnvoz,,,,,,,
ZTF23abgfrkq,,,,,,,
ZTF24abqqijk,,,,,,,
ZTF22aalrcmn,SN2022lbj,ZTF22aalrcmn,290.4110329,-14.69492705,0.065,SN Ia,2022-05-27 09:56:16.996
ZTF23aafggjj,SN2023fvf,ZTF23aafggjj,200.214212089,15.2938553829,0.091,SN Ia,2023-04-15 10:51:36.000
ZTF24aavhdqy,SN2024ptm,ZTF24aavhdqy,6.459296,45.1680587,0.08,SN Ia,2024-07-18 12:58:05.376
ZTF23aaccacy,SN2023cmx,ZTF23aaccacy,106.727708,37.976539,0.22,SLSN-I,2023-02-24 02:29:38.000
ZTF23abkjjkj,,,,,,,
ZTF24aasjjkf,,,,,,,
ZTF23aaqovov,,,,,,,
ZTF24ablgtah,,,,,,,
ZTF22aavdjfo,,,,,,,
ZTF24abdiwwv,SN2024vcn,ZTF24abdiwwv,35.5456957075,-20.3891718846,0.03326,SN I,2024-08-30 11:21:13.999
ZTF22aabnonm,SN2022cvm,ZTF22aabnonm,197.601166861,42.5365350163,0.072,SN Ia,2022-02-20 08:49:35.000
ZTF23abndgcq,SN2023vxb,ZTF23abndgcq,325.622494385,18.408950458,0.05,SN Ia,2023-10-25 04:11:59.000
ZTF23abkkajk,SN2023vwz,ZTF23abkkajk,318.645086897,12.0185946736,0.072,SN Ia,2023-10-28 02:03:59.000
ZTF22aaydcsb,SN2022qlo,ZTF22aaydcsb,262.961417,59.619639,0.0359,SN Ia,2022-08-03 06:47:01.003
ZTF24abhzmca,,,,,,,
ZTF23abkbzoo,,,,,,,
ZTF24aakaiqs,SN2024gry,ZTF24aakaiqs,253.728465584,22.5089125249,0.031579,SN Ib,2024-04-17 09:06:44.352
ZTF22aboadiz,,,,,,,
ZTF22abkkhao,SN2022wza,ZTF22abkkhao,48.154708,45.209681,0.01,SN II,2022-10-02 09:25:55.200
ZTF22abhvfio,SN2022vxj,ZTF22abhvfio,11.5374761,29.4429448,0.034,SN Ia,2022-09-26 07:36:28.800
ZTF22abuygtu,SN2022aart,ZTF22abuygtu,119.86858571818,3.1560161,0.059,SN Ia,2022-11-14 10:59:31.200
ZTF23aafwykt,SN2023fwr,ZTF23aafwykt,247.116929918,41.2191485633,0.02831,SN Ic,2023-04-16 11:14:24.999
ZTF22aaohpmz,SN2022mxa,ZTF22aaohpmz,212.46815895,55.579008325,0.091,SN Ia,2022-06-17 05:46:07.000
ZTF22abolsys,SN2022yku,ZTF22abolsys,328.6587476,26.406745375,0.084,SN Ia,2022-10-20 04:45:28.999
ZTF22aalizik,SN2022kzz,ZTF22aalizik,267.520125,26.434289,0.096,SN Ia-91T-like,2022-05-24 08:24:05.000
ZTF22aaagxnb,SN2022yz,ZTF22aaagxnb,35.353175969,30.1326303615,0.04,SN Ia,2022-01-16 07:22:04.800
ZTF24aazkyml,,,,,,,
ZTF22abbirsn,SN2022rnn,ZTF22abbirsn,5.76831068186,21.2340588346,0.089,SN Ia,2022-08-19 09:11:09.997
ZTF22aausixa,SN2022pdq,ZTF22aausixa,355.470753086,-8.64644871398,0.034,SN Ia,2022-07-20 10:06:32.000
ZTF24aasktmr,SN2024lss,ZTF24aasktmr,247.842457426,22.7024307559,0.024,SN II,2024-06-19 05:04:07.999
ZTF24aatjgxs,SN2024ned,ZTF24aatjgxs,248.8497538,27.4416296,0.07,SN Ia,2024-06-26 07:48:02.998
ZTF23aadcavq,SN2023cys,ZTF23aadcavq,230.428792,39.621339,0.046,SN Ia,2023-03-12 11:52:36.768
ZTF23,,,,,,,
ZTF23aaabhgg,,,,,,,
ZTF24aahdozi,,,,,,,
ZTF24aaguphd,SN2024ega,ZTF24aaguphd,247.0480649,47.4795989,0.083791,SN Ia,2024-02-29 12:08:38.400
ZTF24abutbim,,,,,,,
ZTF24aaxzkuk,,,,,,,
ZTF23abshmtt,SN2023zdy,ZTF23abshmtt,125.711042995,21.1725975037,0.109,SN Ia-pec,2023-12-05 12:32:48.192
ZTF22abidhof,,,,,,,
ZTF22abfvjeg,SN2022ukm,ZTF22abfvjeg,335.297517687,11.0969453298,0.084,SN Ia,2022-09-17 05:06:52.998
