sn_id,name,ZTF_ID,ra,declination,redshift,type,discoverydate
ZTF25aaabiwb,,,,,,,
ZTF25aaabnwi,SN2025ah,ZTF25aaabnwi,38.6907929769,44.5987353911,0.0815,SN IIn,2025-01-02 05:27:07.004
ZTF25aaaeykb,SN2025ad,ZTF25aaaeykb,175.428262677,8.18051914746,0.08,SN Ic-BL,2025-01-01 11:36:18.996
ZTF25aaafbbk,SN2025N,ZTF25aaafbbk,197.33598887,46.2397165515,0.04,SN Ia,2025-01-02 14:06:24.192
ZTF25aaaprdb,SN2025ay,ZTF25aaaprdb,144.301942945,38.0939757761,0.02005,SN Iax[02cx-like],2025-01-04 06:12:26.997
ZTF25aaaszhh,SN2025an,ZTF25aaaszhh,164.276212104,12.58846697,0.045,SN Ia,2025-01-03 12:47:28.608
ZTF25aaaywoo,,,,,,,
ZTF25aabzqvx,,,,,,,
ZTF25aacbsyi,SN2025pv,ZTF25aacbsyi,125.161021916,36.8856201282,0.030137,SN II,2025-01-15 08:41:42.996
ZTF25aacdilx,SN2025qq,ZTF25aacdilx,144.554388929,48.3864826856,0.016,SN II,2025-01-17 10:38:11.002
ZTF25aaczsit,SN2025aca,ZTF25aaczsit,145.543039006,37.0927490487,0.084,SN IIb,2025-01-23 07:54:30.000
ZTF25aaddjzf,SN2025acp,ZTF25aaddjzf,200.795898976,32.1781594354,0.042,SN II,2025-01-24 09:49:01.998
ZTF25aadevqv,SN2025agp,ZTF25aadevqv,138.454428929,17.7411666236,0.0294,SN II,2025-01-26 22:31:11.712
ZTF25aadfkug,SN2025aio,ZTF25aadfkug,156.701483526,8.72088701885,0.071,SN Ia,2025-01-28 05:55:14.016
ZTF25aadgckg,SN2025asr,ZTF25aadgckg,237.498311881,17.4157128175,0.04,SN Ia,2025-02-02 14:30:28.800
ZTF25aadnokz,,,,,,,
ZTF25aadnsyh,SN2025apa,ZTF25aadnsyh,149.787601335,10.2916015684,0.061179,SN Ia,2025-02-01 06:45:08.000
ZTF25aadnxae,SN2025aid,ZTF25aadnxae,145.8061088,15.1383639,0.077,SN Ia-91T-like,2025-01-28 06:29:38.976
ZTF25aadtdef,SN2025arb,ZTF25aadtdef,136.9983477,41.2091222,0.02635,SN Ia,2025-02-01 11:41:23.997
ZTF25aafecyz,,,,,,,
ZTF25aafiibc,SN2025baq,ZTF25aafiibc,215.574464531,50.5084152787,0.007438,SN Iax[02cx-like],2025-02-07 10:30:19.000
ZTF25aafjpdg,SN2025bbe,ZTF25aafjpdg,213.536892425,3.22465704159,0.026833,SN Ia,2025-02-06 04:12:38.880
ZTF25aafkghv,SN2025bdr,ZTF25aafkghv,154.964867454,55.4317228705,,SN Ia-91T-like,2025-02-09 20:37:53.760
ZTF25aafrgdv,SN2025bsi,ZTF25aafrgdv,118.2986586,13.0288193,0.029937,SN II,2025-02-16 11:43:03.072
ZTF25aafsvgy,SN2025btb,ZTF25aafsvgy,251.737849321,34.1493553701,0.030169,SN II,2025-02-16 14:58:20.640
ZTF25aaftayb,,,,,,,
ZTF25aafuniu,,,,,,,
ZTF25aafuwuk,,,,,,,
ZTF25aafvqth,SN2025bxx,ZTF25aafvqth,139.190419887,16.8947507482,0.073932,SN Ia,2025-02-18 10:47:21.120
ZTF25aaggnvd,SN2025ced,ZTF25aaggnvd,214.40638924,7.05807268472,0.028821,SN II,2025-02-20 10:05:48.998
ZTF25aahmdjb,SN2025csc,ZTF25aahmdjb,271.535892525,23.466800975,0.022238,SN IIn,2025-02-25 11:43:18.000
ZTF25aailwca,,,,,,,
ZTF25aaiouoy,SN2025dkj,ZTF25aaiouoy,142.216357955,52.6858229024,0.046864,SN Ia,2025-03-05 06:57:41.003
ZTF25aaipwch,SN2025dir,ZTF25aaipwch,230.6779809,30.0413184,0.0765,SN Ia,2025-03-01 09:38:59.997
ZTF25aaipwda,,,,,,,
ZTF25aaipwdb,,,,,,,
ZTF25aairaww,SN2025dov,ZTF25aairaww,169.000078653,29.3634858235,0.063516,SN Ia,2025-03-06 10:11:19.392
ZTF25aaitagy,SN2025dvc,ZTF25aaitagy,152.427317122,50.7470319117,0.065232,SN Ia,2025-03-05 07:17:09.000
ZTF25aaittpf,,,,,,,
ZTF25aaittqc,SN2025dhv,ZTF25aaittqc,225.866248647,10.6035388653,0.04066,SN Ia,2025-03-04 05:40:02.000
ZTF25aaiyxzl,SN2025eum,ZTF25aaiyxzl,149.8100497875,28.301823175,0.065,SN Ia,2025-03-16 07:11:23.003
ZTF25aaizniw,SN2025ern,ZTF25aaizniw,230.5946148,56.0039824,0.08,SN Ia,2025-03-16 09:42:19.995
ZTF25aajawti,SN2025eru,ZTF25aajawti,168.626729388,56.5842613167,0.073988,SN Ia,2025-03-17 09:53:53.088
ZTF25aajcusp,SN2025erh,ZTF25aajcusp,144.330192223,39.778345194,0.023245,SN Ia,2025-03-17 06:11:51.002
ZTF25aajfota,SN2025far,ZTF25aajfota,173.323946331,14.7884801387,0.079,SN Ia,2025-03-20 07:06:37.996
ZTF25aajoapm,SN2025fax,ZTF25aajoapm,281.053922594,46.2304715534,0.069,SN Ia,2025-03-21 04:46:22.368
ZTF25aajobsh,SN2025fae,ZTF25aajobsh,281.950564887,44.424028066,0.058,SN Ia,2025-03-20 11:49:06.004
ZTF25aajsaas,SN2025fca,ZTF25aajsaas,239.92768626,47.2621495714,0.055502,SN Ia,2025-03-19 12:11:39.001
ZTF25aajygin,SN2025fdq,ZTF25aajygin,205.251779731,39.0581766363,0.02,SN II,2025-03-22 09:55:29.000
ZTF25aakbqpl,SN2025fod,ZTF25aakbqpl,136.705846668,48.7686658053,0.051654,SN Ia,2025-03-23 04:40:30.996
ZTF25aamaffc,,,,,,,
ZTF25aanmnao,SN2025hwu,ZTF25aanmnao,74.6299271889,12.193037157,0.056,SN II,2025-03-27 03:42:34.001
ZTF25aaoxrmn,SN2025ivc,ZTF25aaoxrmn,275.394547067,26.9385684889,0.01,SN II,2025-04-30 10:00:34.001
ZTF25aaqqfkv,SN2025lwz,ZTF25aaqqfkv,343.681942406,7.86205224099,0.023586,SN IIn,2025-05-24 08:57:32.256
ZTF25aarhgtc,SN2025lhr,ZTF25aarhgtc,2.5924157500045,12.13935025,0.038276,SN II,2025-05-22 11:28:09.998
ZTF25aasltmi,SN2025mbd,ZTF25aasltmi,256.867203231,34.5675113889,0.027,SN IIn,2025-05-26 10:07:13.152
ZTF25aauvber,SN2025ngs,ZTF25aauvber,233.819485943,30.8654861098,0.0063,SN II,2025-06-12 09:34:29.280
ZTF25aauvser,SN2025nnn,ZTF25aauvser,286.024765614,43.0988962654,0.05,SN II,2025-06-12 02:06:44.064
ZTF25aavcbih,SN2025nmw,ZTF25aavcbih,312.7857229,27.4511335,0.045,SN Ia,2025-06-08 10:27:01.998
ZTF25aavcsij,SN2025nqp,ZTF25aavcsij,31.1804053,8.5424314,0.011708,SN II,2025-06-14 11:19:05.998
ZTF25aawkwo,,,,,,,
ZTF25aawkwoy,SN2025oom,ZTF25aawkwoy,279.130001396,43.6482612442,0.0266,SN IIn,2025-06-21 05:42:40.997
ZTF25aaxmmyx,SN2025ozp,ZTF25aaxmmyx,276.2803916,61.943098,0.045,SN II,2025-06-24 09:09:10.998
ZTF25aaxsnkv,SN2025paq,ZTF25aaxsnkv,43.626917799997,14.15698315,0.035,SN II,2025-06-26 11:23:33.000
ZTF25aaytlnf,SN2025qin,ZTF25aaytlnf,283.841301953,40.7478178163,0.11,SN Ia,2025-07-01 07:47:51.999
ZTF25aazxxqi,SN2025qmi,ZTF25aazxxqi,261.015758892,51.5620811643,0.061,SN Ia,2025-07-06 07:05:32.997
ZTF25abacnxx,SN2025qso,ZTF25abacnxx,292.1743279,43.682855433333,0.071,SN Ia,2025-07-05 10:11:31.997
ZTF25abadcvl,SN2025qqm,ZTF25abadcvl,290.764317592,54.6974609254,0.063,SN Ia,2025-07-08 18:51:02.016
ZTF25abajpgd,SN2025qpj,ZTF25abajpgd,250.093527262,33.6793013035,0.030861,SN Ia,2025-07-08 06:37:34.000
ZTF25abakvtg,SN2025qpv,ZTF25abakvtg,322.7448796625,22.541528425,0.0456,SN Ia,2025-07-08 08:48:38.002
ZTF25abakxkw,SN2025qpm,ZTF25abakxkw,279.43042589333,60.800440233333,0.0295,SN II,2025-07-08 08:55:36.998
ZTF25abawltx,SN2025qtt,ZTF25abawltx,292.775003884,54.1009697308,0.012839,SN II,2025-07-11 06:37:58.998
ZTF25abbgziu,SN2025pjx,ZTF25abbgziu,13.3558882039,29.2784564906,0.015,SN II,2025-06-30 04:00:46.080
ZTF25abbvstu,SN2025rmg,ZTF25abbvstu,67.1434636,11.0479672,0.020521,SN II,2025-07-18 11:57:27.002
ZTF25abbxvbc,,,,,,,
ZTF25abceqol,SN2025rpe,ZTF25abceqol,287.060694448,58.2703284616,0.045,SN Ia,2025-07-20 07:48:32.003
ZTF25abdcdwd,SN2025sce,ZTF25abdcdwd,310.5112398,21.905976275,0.066,SN Ia,2025-07-21 06:44:00.997
ZTF25abdkrgt,SN2025sem,ZTF25abdkrgt,281.48343451,15.82056641,0.0242,SN II,2025-07-24 07:08:11.999
ZTF25abeclqx,SN2025tir,ZTF25abeclqx,350.757414554,14.4516928835,0.042236,SN IIb,2025-08-01 11:00:31.680
ZTF25abedagz,SN2025sny,ZTF25abedagz,356.0038878,51.0884979,0.04,SN IIb,2025-07-26 09:24:13.999
ZTF25abeepjx,,,,,,,
ZTF25abffowd,,,,,,,
ZTF25abfxfxl,,,,,,,
ZTF25abghglc,SN2025sxr,ZTF25abghglc,276.053985384,44.2482017592,0.0727,SN Ia,2025-08-01 06:12:23.999
ZTF25abgkgkl,,,,,,,
ZTF25abhibmk,SN2025tip,ZTF25abhibmk,322.588160431,8.32224075327,0.0928,SN Ia,2025-08-02 07:10:49.998
ZTF25abhnlmz,,,,,,,
ZTF25abhrbjt,SN2025tjj,ZTF25abhrbjt,103.3064629,47.1686808,0.021598,SN II,2025-08-07 12:03:49.996
ZTF25abhzirb,,,,,,,
ZTF25abibtdm,SN2025tsy,ZTF25abibtdm,109.6311536,27.1544262,0.016942,SN II,2025-08-11 12:09:56.998
ZTF25abimhko,,,,,,,
ZTF25abioriw,SN2025twl,ZTF25abioriw,353.977222042,47.0764770777,0.043,SN Ia,2025-08-14 08:27:22.996
ZTF25abiqcie,SN2025txg,ZTF25abiqcie,326.78720661111,33.5252506,0.088,SN Ia,2025-08-05 09:22:28.997
ZTF25abiwlvv,,,,,,,
ZTF25abiwnxb,,,,,,,
ZTF25abiwtln,,,,,,,
ZTF25abiwxmw,SN2025upm,ZTF25abiwxmw,301.8330465,55.4736498,0.161,SLSN-I,2025-08-18 09:48:47.232
ZTF25abjbadu,,,,,,,
ZTF25abjbwhq,,,,,,,
ZTF25abjecux,SN2025uam,ZTF25abjecux,116.981640347,34.0352623415,0.0154,SN II,2025-08-16 12:14:49.997
ZTF25abjqeok,SN2025ums,ZTF25abjqeok,25.5701812618,7.65844133065,0.0647,SN Ia,2025-08-18 09:18:05.003
ZTF25abkepib,,,,,,,
ZTF25abkexpf,,,,,,,
ZTF25abkeyrv,SN2025usw,ZTF25abkeyrv,276.8753948875,36.106053925,0.056,SN Iax[02cx-like],2025-08-21 05:09:04.999
ZTF25abkkimr,,,,,,,
