,sn_id
0,ZTF22aaxtias
1,ZTF23aakokgz
2,ZTF23abhxwud
3,ZTF23aaguymg
4,ZTF22abyrdyz
5,ZTF24abjjeet
6,ZTF24abtoaue
7,ZTF24aaswnkx
8,ZTF23aappdyu
9,ZTF24ablkziv
10,ZTF23aaojwkb
11,ZTF22aajhdnf
12,ZTF22abputid
13,ZTF23aadvtxf
14,ZTF22aaokebo
15,ZTF22abkwdhr
16,ZTF22abjkjzk
17,ZTF22aaknvcz
18,ZTF23abnmbsq
19,ZTF23aaqdwrp
20,ZTF23aaaasoh
21,ZTF24abqttfy
22,ZTF22aahmttr
23,ZTF22aadewot
24,ZTF23abavxmm
25,ZTF22aaolexr
26,ZTF24aaosvzx
27,ZTF23aaalcjc
28,ZTF22aaejjtb
29,ZTF23aaixaqp
30,ZTF23aajrmfh
31,ZTF22aagqgtw
32,ZTF22aalwbqe
33,ZTF22abhxptt
34,ZTF24aasokij
35,ZTF22abegzdb
36,ZTF23aaiwwgd
37,ZTF23abiwmew
38,ZTF23aasfkpz
39,ZTF23abqbtam
40,ZTF24aaejsaf
41,ZTF23abpczzt
42,ZTF22aahmgmv
43,ZTF22aahibvx
44,ZTF24aaugbew
45,ZTF22aanzset
46,ZTF22aabzqnf
47,ZTF23abjuygh
48,ZTF24aahgzvu
49,ZTF24abyfijk
50,ZTF23aamxuks
51,ZTF22aavcyar
52,ZTF23aaiyjbk
53,ZTF23aabbqka
54,ZTF22aajlsrh
55,ZTF24ablkgwk
56,ZTF24abrmdti
57,ZTF23abnkxgm
58,ZTF22aaoelte
59,ZTF23aazpylb
60,ZTF22abtcsyd
61,ZTF23aaejwfe
62,ZTF23aadvpwt
63,ZTF22aambnsg
64,ZTF22aawavtx
65,ZTF23abmuyqd
66,ZTF22abkisoc
67,ZTF23aahxdsi
68,ZTF22aatnyuo
69,ZTF24aaiegxv
70,ZTF22aakfmcf
71,ZTF22aaipocw
72,ZTF23aaurhgm
73,ZTF22aaiisww
74,ZTF23aagkgnz
75,ZTF23aaurrfv
76,ZTF22abjagqj
77,ZTF24aaovokk
78,ZTF23aaeyukj
79,ZTF24aatwwpj
80,ZTF22abteetl
81,ZTF24aahsmhu
82,ZTF23abetodb
83,ZTF23aarrwwl
84,ZTF22aakdbia
85,ZTF22aafupdg
86,ZTF23aaoxywk
87,ZTF22aaxtysg
88,ZTF22aakcvbr
89,ZTF23abglhle
90,ZTF24aammkvn
91,ZTF24aatclmh
92,ZTF23abbzdoj
93,ZTF24aagozfg
94,ZTF22aaoippk
95,ZTF23aaiypww
96,ZTF23aafgazi
97,ZTF23abbpswf
98,ZTF23abcglga
99,ZTF24aalndou
100,ZTF24aaopngg
101,ZTF22abdxbyh
102,ZTF23aahvmpq
103,ZTF22abyknqk
104,ZTF23abhwhho
105,ZTF22abdtpru
106,ZTF24abuuacy
107,ZTF23aaftebr
108,ZTF22abmcems
109,ZTF23aboejiq
110,ZTF24abcyfru
111,ZTF22aauubkl
112,ZTF23aaehsgs
113,ZTF23abktfjr
114,ZTF23abgnfdv
115,ZTF23aaeinqq
116,ZTF22aaucozn
117,ZTF23abahief
118,ZTF22abmnqvl
119,ZTF24abzmhtv
120,ZTF22abnwpmq
121,ZTF23abrzfge
122,ZTF23aadwitm
123,ZTF23abgyyvj
124,ZTF22abwmnow
125,ZTF24abyatmu
126,ZTF22aatrrjy
127,ZTF22aamuneh
128,ZTF23aaanxbm
129,ZTF23abbzhug
130,ZTF22aaaxlxq
131,ZTF22abmcfbh
132,ZTF23abkhajf
133,ZTF22aaayghr
134,ZTF23aausgtp
135,ZTF23abjzkmx
136,ZTF22aahaufu
137,ZTF22abekkwn
138,ZTF23aaiwpbo
139,ZTF22aaahbyx
140,ZTF23aboemfi
141,ZTF22aaeyltx
142,ZTF24aauekes
143,ZTF23aalwuua
144,ZTF22aadphku
145,ZTF22aasygdq
146,ZTF22aajcupz
147,ZTF24aaejrli
148,ZTF22aabrhce
149,ZTF22abvpklt
150,ZTF23aaaizts
151,ZTF23aadtfgp
152,ZTF24aahdikd
153,ZTF23abozxbp
154,ZTF22aasxakz
155,ZTF22abmolve
156,ZTF22abtspsw
157,ZTF22aamgkdw
158,ZTF24abjixuq
159,ZTF23ababkmo
160,ZTF24aahdpki
161,ZTF22aaknmzk
162,ZTF24abotauw
163,ZTF24abubygj
164,ZTF23aaatixf
165,ZTF23abnsxxj
166,ZTF23aajazzl
167,ZTF23aasovdv
168,ZTF23aaamnrm
169,ZTF22abulusd
170,ZTF23aagaiju
171,ZTF24abluezl
172,ZTF23abvtzdz
173,ZTF22aadnjsh
174,ZTF24aahesvl
175,ZTF22abprvjx
176,ZTF24abojoup
177,ZTF22abbiqoi
178,ZTF22aajvhrj
179,ZTF24aaoasjl
180,ZTF24aarxwyd
181,ZTF24abnpdmk
182,ZTF22aaahesb
183,ZTF23aaeuaci
184,ZTF22aahoxbx
185,ZTF24aafqxmg
186,ZTF24abbcmal
187,ZTF22aaljyqw
188,ZTF24aajdqbw
189,ZTF23aaajyqz
190,ZTF22abgepyb
191,ZTF23aaylkdm
192,ZTF23aabrmuq
193,ZTF23abjdrvd
194,ZTF22abtvkgk
195,ZTF24aaiiwby
196,ZTF23aafwvek
197,ZTF22abtciik
198,ZTF23abjbkau
199,ZTF24aatajja
200,ZTF22aapthgs
201,ZTF24aaxplkc
202,ZTF23abrzezc
203,ZTF24aaqtode
204,ZTF22aazuvzp
205,ZTF22aakmhas
206,ZTF23aaxexuq
207,ZTF24aasdtkt
208,ZTF22aajryew
209,ZTF22abnojbc
