,sn_id
0,ZTF24aayimjt
1,ZTF24abyaowk
2,ZTF24aawruen
3,ZTF24abvuqds
4,ZTF24abdzkva
5,ZTF23aanuvih
6,ZTF22abunjts
7,ZTF23aaaprxt
8,ZTF22aaehwkv
9,ZTF22abfyzir
10,ZTF22abymgpf
11,ZTF23aaqmxxo
12,ZTF22aajezaq
13,ZTF24aagolgy
14,ZTF18abxnvoz
15,ZTF23abgfrkq
16,ZTF24abqqijk
17,ZTF22aalrcmn
18,ZTF23aafggjj
19,ZTF24aavhdqy
20,ZTF23aaccacy
21,ZTF23abkjjkj
22,ZTF24aasjjkf
23,ZTF23aaqovov
24,ZTF24ablgtah
25,ZTF22aavdjfo
26,ZTF24abdiwwv
27,ZTF22aabnonm
28,ZTF23abndgcq
29,ZTF23abkkajk
30,ZTF22aaydcsb
31,ZTF24abhzmca
32,ZTF23abkbzoo
33,ZTF24aakaiqs
34,ZTF22aboadiz
35,ZTF22abkkhao
36,ZTF22abhvfio
37,ZTF22abuygtu
38,ZTF23aafwykt
39,ZTF22aaohpmz
40,ZTF22abolsys
41,ZTF22aalizik
42,ZTF22aaagxnb
43,ZTF24aazkyml
44,ZTF22abbirsn
45,ZTF22aausixa
46,ZTF24aasktmr
47,ZTF24aatjgxs
48,ZTF23aadcavq
49,ZTF23
50,ZTF23aaabhgg
51,ZTF24aahdozi
52,ZTF24aaguphd
53,ZTF24abutbim
54,ZTF24aaxzkuk
55,ZTF23abshmtt
56,ZTF22abidhof
57,ZTF22abfvjeg
58,ZTF22abkmguc
59,ZTF24aaueuzb
60,ZTF24aawavgt
61,ZTF22abuqnfj
62,ZTF22aadgrrv
63,ZTF22aahhrks
64,ZTF23abjpcza
65,ZTF24aakdffc
66,ZTF24aadkdwg
67,ZTF22aabjlim
68,ZTF22aayrxbb
69,ZTF23aawzkht
70,ZTF22abmjdfo
71,ZTF24aaqegew
72,ZTF22abbqnqn
73,ZTF24abkiblx
74,ZTF22aaaiyip
75,ZTF23aaejvsg
76,ZTF22abyrqec
77,ZTF23aaojbdj
78,ZTF22abyyirb
79,ZTF22aaaepgu
80,ZTF22aaafgwq
81,ZTF23aatorzk
82,ZTF23aaqpbhu
83,ZTF24aagfeti
84,ZTF24aahdfsy
85,ZTF23aapfrwv
86,ZTF24aahgqwk
87,ZTF23aamfmqm
88,ZTF24aahhlmp
89,ZTF23abhlsha
90,ZTF24aawwnis
91,ZTF24abzhwdk
92,ZTF22aabgcko
93,ZTF24aadlwsg
94,ZTF22aaakxxu
95,ZTF24abbwkci
96,ZTF24aavzrue
97,ZTF22abipidm
98,ZTF24abltcrf
99,ZTF22aamfvrs
100,ZTF22aaiisw
101,ZTF22aabjlih
102,ZTF22aaolmwr
103,ZTF22aaacvyy
104,ZTF22abyjtmn
105,ZTF23aamwiqd
106,ZTF23abmewfr
107,ZTF22abhsrll
108,ZTF22aattfmb
109,ZTF22aasyada
110,ZTF24abyystl
111,ZTF23aaeqhrg
112,ZTF22aajwlug
113,ZTF23aaniabv
114,ZTF22aadesog
115,ZTF23abciuka
116,ZTF22aadeurv
117,ZTF22abfuwum
118,ZTF22aaafncm
119,ZTF22abyjttn
120,ZTF23abfgsod
121,ZTF22abqmqzt
122,ZTF22aadpscu
123,ZTF24aauoakx
124,ZTF23aajscgu
125,ZTF22aawvlku
126,ZTF24abxvulk
127,ZTF23abcegjv
128,ZTF22aafwkwi
129,ZTF23abbanlv
130,ZTF24aaehvnx
131,ZTF22abjaqoq
132,ZTF23aaubdrz
133,ZTF24abiwsvi
134,ZTF24abydqbu
135,ZTF22abhfwmr
136,ZTF22abeltic
137,ZTF22aahmbwn
138,ZTF24abruaqt
139,ZTF22aadfnrx
140,ZTF24abakgyn
141,ZTF23abifcbs
142,ZTF24abcubkx
143,ZTF23aaahmyn
144,ZTF23abaslfm
145,ZTF24aatfxrw
146,ZTF22aavcfed
147,ZTF22aapargp
148,ZTF23abnmdqn
149,ZTF22aaiiiho
150,ZTF24abgeeit
151,ZTF23aaeyugg
152,ZTF23aaenpcd
153,ZTF23abhsfef
154,ZTF23aabwfkc
155,ZTF24aakwvbi
156,ZTF22aarlppe
157,ZTF22aabseql
158,ZTF24aaopnuy
159,ZTF24aahkglt
160,ZTF22aauurbv
161,ZTF24aagfewl
162,ZTF24aaijpbj
163,ZTF23abiqtvw
164,ZTF24aamlalc
165,ZTF22aaambwy
166,ZTF22aahivsn
167,ZTF22aadevoi
168,ZTF23aalabpo
169,ZTF23abfpegt
170,ZTF22aajhtpy
171,ZTF24abibcib
172,ZTF23aaapoom
173,ZTF23aapwwak
174,ZTF22aativsd
175,ZTF22aakesuc
176,ZTF23aawwabr
177,ZTF23aaoygit
178,ZTF23aaahusn
179,ZTF24aamtwya
180,ZTF22aajsdkt
181,ZTF24aamtsgz
182,ZTF19abgvjcu
183,ZTF24aagnlaw
184,ZTF22aahfuaa
185,ZTF24aagtmbq
186,ZTF23aajeunk
187,ZTF23aaazffe
188,ZTF24aaydzzk
189,ZTF24abracvj
190,ZTF23aaexcmm
191,ZTF23abdhvou
192,ZTF23aaxpxyb
193,ZTF24ablsajd
194,ZTF22aahwmww
195,ZTF22aajhlaj
196,ZTF22aaaokni
197,ZTF22aadolby
198,ZTF23aabmbdj
199,ZTF22absdier
200,ZTF23aawyvgl
201,ZTF22aajvkrd
202,ZTF22aayxdkd
203,ZTF23aaqcaeo
204,ZTF23aavugvk
205,ZTF24aamjnph
206,ZTF23aamxekn
207,ZTF22abnuqel
208,ZTF22aauuihf
209,ZTF24aasvscv
