,sn_id
0,ZTF25aaabiwb
1,ZTF25aaabnwi
2,ZTF25aaaeykb
3,ZTF25aaafbbk
4,ZTF25aaaprdb
5,ZTF25aaaszhh
6,ZTF25aaaywoo
7,ZTF25aabzqvx
8,ZTF25aacbsyi
9,ZTF25aacdilx
10,ZTF25aaczsit
11,ZTF25aaddjzf
12,ZTF25aadevqv
13,ZTF25aadfkug
14,ZTF25aadgckg
15,ZTF25aadnokz
16,ZTF25aadnsyh
17,ZTF25aadnxae
18,ZTF25aadtdef
19,ZTF25aafecyz
20,ZTF25aafiibc
21,ZTF25aafjpdg
22,ZTF25aafkghv
23,ZTF25aafrgdv
24,ZTF25aafsvgy
25,ZTF25aaftayb
26,ZTF25aafuniu
27,ZTF25aafuwuk
28,ZTF25aafvqth
29,ZTF25aaggnvd
30,ZTF25aahmdjb
31,ZTF25aailwca
32,ZTF25aaiouoy
33,ZTF25aaipwch
34,ZTF25aaipwda
35,ZTF25aaipwdb
36,ZTF25aairaww
37,ZTF25aaitagy
38,ZTF25aaittpf
39,ZTF25aaittqc
40,ZTF25aaiyxzl
41,ZTF25aaizniw
42,ZTF25aajawti
43,ZTF25aajcusp
44,ZTF25aajfota
45,ZTF25aajoapm
46,ZTF25aajobsh
47,ZTF25aajsaas
48,ZTF25aajygin
49,ZTF25aakbqpl
50,ZTF25aamaffc
51,ZTF25aanmnao
52,ZTF25aaoxrmn
53,ZTF25aaqqfkv
54,ZTF25aarhgtc
55,ZTF25aasltmi
56,ZTF25aauvber
57,ZTF25aauvser
58,ZTF25aavcbih
59,ZTF25aavcsij
60,ZTF25aawkwo
61,ZTF25aawkwoy
62,ZTF25aaxmmyx
63,ZTF25aaxsnkv
64,ZTF25aaytlnf
65,ZTF25aazxxqi
66,ZTF25abacnxx
67,ZTF25abadcvl
68,ZTF25abajpgd
69,ZTF25abakvtg
70,ZTF25abakxkw
71,ZTF25abawltx
72,ZTF25abbgziu
73,ZTF25abbvstu
74,ZTF25abbxvbc
75,ZTF25abceqol
76,ZTF25abdcdwd
77,ZTF25abdkrgt
78,ZTF25abeclqx
79,ZTF25abedagz
80,ZTF25abeepjx
81,ZTF25abffowd
82,ZTF25abfxfxl
83,ZTF25abghglc
84,ZTF25abgkgkl
85,ZTF25abhibmk
86,ZTF25abhnlmz
87,ZTF25abhrbjt
88,ZTF25abhzirb
89,ZTF25abibtdm
90,ZTF25abimhko
91,ZTF25abioriw
92,ZTF25abiqcie
